City_ID,City,Country,Lat,Lng,Current Weather,Max Temp,Humidity,Cloudiness,Wind Speed
182,Laguna,US,38.421,-121.4238,clear sky,62.6,48,1,4.61
183,Kieta,PG,-6.2167,155.6333,light rain,86.18,70,29,9.46
184,North Adams,US,42.7009,-73.1087,clear sky,23.0,50,1,3.44
185,Norman Wells,CA,65.282,-126.8329,broken clouds,-27.4,68,75,2.3
186,Atar,MR,20.5169,-13.0499,scattered clouds,57.7,39,47,12.48
187,Mandera,KE,3.9366,41.867,clear sky,72.77,72,0,8.46
188,Chicama,PE,-7.8447,-79.1469,overcast clouds,73.17,68,100,6.78
189,Iisaku,EE,59.1014,27.3081,clear sky,7.92,94,1,7.2
190,Asau,RO,46.4333,26.4,light snow,27.0,73,100,3.65
191,Ibaiti,BR,-23.8486,-50.1878,few clouds,66.0,99,16,3.0
192,Tutoia,BR,-2.7619,-42.2744,clear sky,80.76,80,2,13.13
193,Grenville,GD,12.1167,-61.6167,few clouds,78.8,73,20,11.5
194,Pelym,RU,61.0108,61.9978,light snow,-14.48,89,100,13.73
195,Velez-Malaga,ES,36.7726,-4.1005,overcast clouds,54.0,65,100,3.96
196,Necochea,AR,-38.5473,-58.7368,clear sky,60.01,82,2,11.56
197,Lakatoro,VU,-16.0999,167.4164,scattered clouds,84.29,64,28,6.42
198,Salalah,OM,17.0151,54.0924,broken clouds,73.4,68,75,2.3
199,Upernavik,GL,72.7868,-56.1549,clear sky,18.97,75,0,4.59
200,Sidi Ali,DZ,36.0998,0.4206,overcast clouds,50.92,87,100,11.77
201,Lorengau,PG,-2.0226,147.2712,overcast clouds,86.38,66,100,5.55
202,Beisfjord,NO,68.3751,17.5988,scattered clouds,19.4,93,40,1.63
203,Mae Hong Son,TH,19.3003,97.9685,few clouds,62.6,94,20,0.45
204,Poum,NC,-20.2333,164.0167,clear sky,80.24,68,0,5.64
205,Male,MV,4.1748,73.5089,few clouds,80.6,83,20,9.22
206,Kidal,ML,18.4411,1.4078,overcast clouds,70.88,19,100,11.56
207,Beloha,MG,-25.1667,45.05,scattered clouds,73.81,96,33,4.32
208,Faanui,PF,-16.4833,-151.75,clear sky,83.08,65,0,10.07
209,Carutapera,BR,-1.195,-46.02,overcast clouds,77.79,87,85,5.88
210,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,broken clouds,75.81,88,67,2.04
211,Goure,NE,13.9835,10.2704,overcast clouds,59.52,28,100,8.63
212,Mumbwa,ZM,-14.9783,27.0619,overcast clouds,64.04,96,99,4.09
213,Ust-Koksa,RU,50.2696,85.6108,broken clouds,16.68,87,68,2.68
214,Lebu,CL,-37.6167,-73.65,few clouds,57.81,93,24,1.86
215,Souillac,MU,-20.5167,57.5167,clear sky,75.0,86,6,1.99
216,Vestmannaeyjar,IS,63.4427,-20.2734,clear sky,38.37,76,0,27.38
217,Saint-Louis,SN,16.3333,-15.0,few clouds,62.89,33,17,12.03
218,Anadyr,RU,64.75,177.4833,clear sky,-9.0,84,0,8.95
219,Beringovskiy,RU,63.05,179.3167,broken clouds,-6.45,90,83,11.74
220,Geraldton,AU,-28.7667,114.6,broken clouds,73.4,78,75,23.02
221,Bathsheba,BB,13.2167,-59.5167,overcast clouds,77.22,79,97,18.72
222,Tiksi,RU,71.6872,128.8694,overcast clouds,-25.76,84,100,5.35
223,Georgetown,MY,5.4112,100.3354,few clouds,82.4,74,20,8.05
224,Cabo San Lucas,MX,22.8909,-109.9124,few clouds,69.8,60,20,8.05
225,Hofn,IS,64.2539,-15.2082,overcast clouds,32.36,92,91,19.08
226,Salinas,US,36.6777,-121.6555,clear sky,60.8,63,1,9.22
227,Ilulissat,GL,69.2167,-51.1,light snow,24.8,39,0,31.07
228,Dajal,PK,29.5577,70.3762,clear sky,52.59,43,0,6.44
229,Havre-Saint-Pierre,CA,50.2334,-63.5986,light snow,28.4,93,90,34.52
230,Weihai,CN,37.5017,122.1136,clear sky,34.77,79,0,22.08
231,Chupa,RU,66.27,33.0549,overcast clouds,19.29,95,100,9.17
232,Luderitz,NA,-26.6481,15.1594,clear sky,67.6,71,0,23.64
233,Tuy Hoa,VN,13.0833,109.3,overcast clouds,74.25,83,91,7.74
234,Abha,SA,18.2164,42.5053,scattered clouds,46.4,87,40,0.58
235,Guerrero Negro,MX,27.9769,-114.0611,clear sky,63.28,54,0,9.8
236,Manzil Salim,TN,35.8567,8.4765,scattered clouds,59.0,63,40,31.07
237,Deep River,CA,46.1001,-77.4995,scattered clouds,15.8,73,40,4.61
238,Mahebourg,MU,-20.4081,57.7,clear sky,75.0,86,0,3.0
239,Cockburn Town,TC,21.4612,-71.1419,clear sky,77.47,78,0,23.31
240,Furano,JP,43.2818,142.4743,light snow,17.6,67,75,3.44
241,Krasnyy Chikoy,RU,50.3643,108.7512,overcast clouds,-1.28,87,98,2.59
242,Solano,US,38.2333,-121.9511,clear sky,68.0,37,1,4.61
243,Bad Bevensen,DE,53.0833,10.5833,broken clouds,24.8,54,75,20.71
244,Chokurdakh,RU,70.6333,147.9167,overcast clouds,-21.35,86,98,4.23
245,Pedernales,DO,18.0384,-71.744,broken clouds,76.46,63,51,9.37
246,Tasiilaq,GL,65.6145,-37.6368,broken clouds,33.8,55,72,28.77
247,Bandarbeyla,SO,9.4942,50.8122,clear sky,74.75,82,7,11.14
248,Gramsh,AL,40.8697,20.1844,overcast clouds,54.54,44,100,5.77
249,Launceston,AU,-41.45,147.1667,clear sky,72.0,45,0,13.8
250,Bambous Virieux,MU,-20.3428,57.7575,light rain,75.0,86,3,3.0
251,Yomou,GN,7.5603,-9.2653,overcast clouds,71.83,93,91,1.14
252,Airai,TL,-8.9266,125.4092,broken clouds,72.81,74,72,5.39
253,Awjilah,LY,29.1081,21.2869,clear sky,58.21,41,0,9.19
254,Mwinilunga,ZM,-11.7358,24.4293,light rain,62.56,97,100,8.32
255,Montevideo,UY,-34.8335,-56.1674,few clouds,69.01,83,20,12.66
256,Baoshan,CN,46.5586,131.4244,overcast clouds,-0.24,89,97,7.54
257,Taltal,CL,-25.4,-70.4833,clear sky,63.73,75,3,4.47
258,Acapulco,MX,16.8634,-99.8901,clear sky,80.6,74,1,4.61
259,Sawakin,SD,19.1059,37.3321,scattered clouds,70.75,71,25,11.18
260,Deputatskiy,RU,69.3,139.9,scattered clouds,-31.32,83,45,0.89
261,Chilca,PE,-12.5211,-76.7372,broken clouds,75.0,78,75,10.36
262,Asosa,ET,10.0667,34.5333,clear sky,56.23,33,0,6.6
263,Thompson,CA,55.7435,-97.8558,snow,-27.4,68,40,12.66
264,La Rioja,ES,42.25,-2.5,few clouds,37.4,87,20,5.75
265,Praia Da Vitoria,PT,38.7333,-27.0667,few clouds,60.8,82,20,13.76
266,Abu Samrah,SY,35.3029,37.1841,clear sky,48.7,74,0,4.74
267,Dakar,SN,14.6937,-17.4441,scattered clouds,62.6,72,46,16.11
268,Mount Gambier,AU,-37.8333,140.7667,overcast clouds,62.6,59,90,13.8
269,Oktyabrskiy,RU,54.4815,53.471,overcast clouds,-2.04,89,100,14.83
270,Takapau,NZ,-40.0333,176.35,broken clouds,77.0,41,71,5.99
271,Tuatapere,NZ,-46.1333,167.6833,clear sky,71.83,47,10,6.04
272,Mount Isa,AU,-20.7333,139.5,light rain,78.8,94,75,9.22
273,Port Blair,IN,11.6667,92.75,clear sky,80.98,70,0,9.84
274,Aranos,NA,-24.1333,19.1167,clear sky,71.53,66,0,6.89
275,Alyangula,AU,-13.8483,136.4192,moderate rain,82.4,74,90,17.27
276,San Patricio,US,28.017,-97.5169,clear sky,64.4,55,1,3.44
277,Port Elizabeth,ZA,-33.918,25.5701,clear sky,63.0,89,4,1.01
278,Severo-Kurilsk,RU,50.6789,156.125,light snow,22.71,93,93,21.92
279,Ixtapa,MX,20.7,-105.2,scattered clouds,72.0,78,40,5.75
280,Alekseyevsk,RU,57.8406,108.3492,overcast clouds,9.46,93,100,8.3
281,Porto Novo,BJ,6.4965,2.6036,scattered clouds,84.2,84,40,12.66
282,Half Moon Bay,US,37.4636,-122.4286,clear sky,61.0,71,1,8.05
283,Nueva Loja,EC,0.0847,-76.8828,scattered clouds,72.57,94,30,0.04
284,Mlonggo,ID,-6.5333,110.7,scattered clouds,78.8,89,40,4.61
285,Taunggyi,MM,20.7833,97.0333,overcast clouds,64.49,56,96,2.01
286,Isangel,VU,-19.55,169.2667,few clouds,86.0,79,20,5.75
287,Muriwai Beach,NZ,-36.8167,174.45,broken clouds,75.0,58,82,4.0
288,Dongsheng,CN,39.8161,109.9776,clear sky,21.38,75,0,9.82
289,Naryan-Mar,RU,67.6713,53.087,overcast clouds,-25.91,85,99,13.49
290,Siderno,IT,38.2779,16.302,mist,61.0,94,75,4.61
291,Basoko,CD,1.2391,23.616,overcast clouds,71.47,62,96,1.32
292,Bykov,RU,47.3167,142.55,light snow,5.0,66,22,6.71
293,Takaka,NZ,-40.85,172.8,broken clouds,69.33,54,54,6.06
294,Puerto Maldonado,PE,-12.6,-69.1833,overcast clouds,74.68,96,100,3.06
295,Paranhos,BR,-23.8928,-55.4311,clear sky,62.46,85,0,2.37
296,Chernyanka,RU,50.9409,37.8069,broken clouds,2.93,90,63,10.16
297,Vygonichi,RU,53.0985,34.0673,clear sky,-6.45,92,8,7.56
298,Kholtoson,RU,50.2981,103.3097,clear sky,1.81,86,1,3.42
299,Morondava,MG,-20.2833,44.2833,clear sky,80.1,80,1,8.16
300,Thaba-Tseka,LS,-29.522,28.6084,overcast clouds,54.25,81,99,1.72
301,Malanje,AO,-9.5402,16.341,light rain,64.83,98,100,5.01
302,Lhokseumawe,ID,5.1801,97.1507,few clouds,80.65,74,15,6.62
303,Inhambane,MZ,-23.865,35.3833,overcast clouds,76.32,89,98,7.65
304,Angoram,PG,-4.0625,144.0661,overcast clouds,90.16,59,86,3.33
305,Isla Aguada,MX,18.7833,-91.4667,clear sky,78.8,65,1,4.61
306,Konskie,PL,51.1917,20.4061,overcast clouds,19.0,10,97,13.73
307,Semirom,IR,31.4167,51.5667,snow,33.37,95,98,4.43
308,Sobolevo,RU,54.4299,31.8996,broken clouds,-5.06,92,67,8.05
309,Champerico,GT,14.3,-91.9167,clear sky,64.0,93,0,7.18
310,Kaeo,NZ,-35.1,173.7833,broken clouds,73.0,62,83,14.0
311,Kirakira,SB,-10.4544,161.9205,overcast clouds,79.56,86,100,8.79
312,Surt,LY,31.2089,16.5887,overcast clouds,65.73,35,100,16.73
313,Noumea,NC,-22.2763,166.4572,scattered clouds,87.8,62,40,10.36
314,Port Shepstone,ZA,-30.7414,30.455,overcast clouds,73.89,86,100,3.22
315,Ouallam,NE,14.3188,2.0866,overcast clouds,74.05,20,97,7.61
316,Copiapo,CL,-27.3667,-70.3333,overcast clouds,60.8,82,90,12.66
317,Lloydminster,CA,53.2835,-110.0016,few clouds,-20.2,76,20,9.22
318,Luangwa,ZM,-15.6167,30.4167,overcast clouds,71.62,93,99,1.9
319,Akdepe,TM,42.0551,59.3788,overcast clouds,37.4,93,90,2.3
320,Makambako,TZ,-8.8453,34.823,light rain,59.59,99,100,1.12
321,Oranjestad,AW,12.524,-70.027,overcast clouds,78.66,78,100,27.11
322,Yerbogachen,RU,61.2767,108.0108,light snow,-0.15,92,100,10.89
323,Dalbandin,PK,28.8947,64.4101,clear sky,48.97,34,0,2.95
324,Inuvik,CA,68.3499,-133.7218,overcast clouds,-16.6,76,100,4.61
325,Mikhaylovsk,RU,45.1283,42.0256,snow,21.2,93,90,11.18
326,Ancud,CL,-41.8697,-73.8203,clear sky,63.0,51,0,11.5
327,Benguela,AO,-12.5763,13.4055,overcast clouds,72.55,85,100,1.59
