City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
508,Prabumulih,ID,77.72,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
509,Vao,NC,78.03,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
512,Cayenne,GF,77.0,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
515,Marawi,PH,80.01,broken clouds,7.9986,124.2928,Derogongan Residence
517,Nicoya,CR,82.4,clear sky,10.1483,-85.45200000000001,Guayacan Real
529,Kupang,ID,84.2,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
530,Porto Velho,BR,77.0,light rain,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
532,Vila Velha,BR,82.99,light rain,-20.3297,-40.2925,Hotel Vitória Palace
535,Auki,SB,77.16,light rain,-8.7676,160.7034,Auki Motel
542,Puerto Escondido,MX,80.6,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
546,Kanniyakumari,IN,75.13,few clouds,8.0833,77.5667,Sparsa
554,Charlestown,AU,81.0,broken clouds,-32.95,151.6667,Panorama Motor Inn Hotel
559,Kloulklubed,PW,77.0,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
561,Sinnamary,GF,77.25,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
576,Cabedelo,BR,78.8,few clouds,-6.9811,-34.8339,Hotel Pigalle
586,Ugoofaaru,MV,81.41,clear sky,5.6667,73.0,Ungoofaaru Inn
587,Padang,ID,82.4,few clouds,-0.9492,100.3543,Mercure Padang
590,Domoni,KM,79.77,overcast clouds,-12.2569,44.5319,Al Djadid
596,Sabang,ID,82.54,few clouds,5.8933,95.3214,Hotel Citra
610,Alice Springs,AU,87.01,clear sky,-23.7,133.8833,Desert Palms Alice Springs
617,Puerto Narino,CO,78.8,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
618,Mogadishu,SO,75.42,clear sky,2.0371,45.3438,Hotel Juba
623,Waipawa,NZ,75.99,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
625,Manta,EC,80.6,clear sky,-0.95,-80.7333,Balandra Hotel
632,Lima,PE,75.0,broken clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
645,Hobyo,SO,76.66,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
646,Namatanai,PG,86.16,overcast clouds,-3.6667,152.4333,Namatanai Hotel
653,Indiaroba,BR,78.51,overcast clouds,-11.5192,-37.5117,Neide brito
654,Pitimbu,BR,78.8,few clouds,-7.4706,-34.8086,Reserva do Abiaí
656,Sola,VU,82.06,few clouds,-13.8833,167.55,Leumerus Bungalows
658,Kantang,TH,84.99,few clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
661,Soe,ID,77.86,overcast clouds,-9.8607,124.28399999999999,Dena Hotel
663,Callaguip,PH,82.4,broken clouds,18.0714,120.4867,Pangil Beach Resort
665,Rio Hato,PA,82.4,few clouds,8.3833,-80.1667,Posada Acuarela Farallón (Panamá)
673,The Valley,AI,78.01,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
676,Loandjili,CG,80.6,light rain,-4.7561,11.8578,Résidence ARCHANGE
683,Bambanglipuro,ID,83.52,overcast clouds,-7.95,110.2833,Puri Brata
685,Adamantina,BR,75.2,clear sky,-21.6853,-51.0725,Abaporu Hotéis
689,Matara,LK,75.47,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
690,Pangkalanbuun,ID,83.37,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
691,Puerto Madero,MX,78.8,scattered clouds,14.7208,-92.4215,Hotel La Central
694,Batemans Bay,AU,75.0,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
698,Sinfra,CI,78.8,overcast clouds,6.6167,-5.9167,Hote Ivoire Sinfra
699,Omboue,GA,79.29,overcast clouds,-1.5746,9.2618,Hotel Olako
